0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:28 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:28 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:52 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:12:26 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:13:00 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:13:00 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:13:11 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 6598
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:13:11 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:16:28 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:37 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:39 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:39 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:40 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
